,0
Palace Downtown,https://www.trip.com/hotels/detail/?cityId=220&hotelId=755770
Armani Hotel Dubai,https://www.trip.com/hotels/detail/?cityId=220&hotelId=756635
Best Western Premier M Four Hotels,https://www.trip.com/hotels/detail/?cityId=220&hotelId=115543854
Address Sky View,https://www.trip.com/hotels/detail/?cityId=220&hotelId=29379525
Raffles the Palm,https://www.trip.com/hotels/detail/?cityId=220&hotelId=23145938
"Marriott Hotel Al Jaddaf, Dubai",https://www.trip.com/hotels/detail/?cityId=220&hotelId=1562989
"Atlantis, the Palm",https://www.trip.com/hotels/detail/?cityId=220&hotelId=984964
"Rove City Centre, Deira",https://www.trip.com/hotels/detail/?cityId=220&hotelId=6371307
Address Downtown,https://www.trip.com/hotels/detail/?cityId=220&hotelId=756239
Rove Healthcare City,https://www.trip.com/hotels/detail/?cityId=220&hotelId=6638520
"The St. Regis Dubai, the Palm",https://www.trip.com/hotels/detail/?cityId=220&hotelId=70989558
Ibis One Central - World Trade Centre Dubai,https://www.trip.com/hotels/detail/?cityId=220&hotelId=4510212
Howard Johnson Plaza By Wyndham Dubai Deira,https://www.trip.com/hotels/detail/?cityId=220&hotelId=1003457
Ibis Deira City Centre,https://www.trip.com/hotels/detail/?cityId=220&hotelId=1550944
Ibis World Trade Centre,https://www.trip.com/hotels/detail/?cityId=220&hotelId=1562886
Hampton by Hilton Dubai Al Seef,https://www.trip.com/hotels/detail/?cityId=220&hotelId=15942199
Rove at The Park,https://www.trip.com/hotels/detail/?cityId=220&hotelId=31194446
JW Marriott Marquis Hotel Dubai,https://www.trip.com/hotels/detail/?cityId=220&hotelId=1551032
Carlton Downtown Hotel,https://www.trip.com/hotels/detail/?cityId=220&hotelId=2198895
Millennium Place Barsha Heights Hotel Apartments,https://www.trip.com/hotels/detail/?cityId=220&hotelId=57127512
IntercityHotel Dubai Jaddaf Waterfront,https://www.trip.com/hotels/detail/?cityId=220&hotelId=49387333
Al Khoory Inn Bur Dubai,https://www.trip.com/hotels/detail/?cityId=220&hotelId=15223487
Hotel Indigo Dubai Downtown,https://www.trip.com/hotels/detail/?cityId=220&hotelId=28300294
Super 8 by Wyndham Dubai Deira,https://www.trip.com/hotels/detail/?cityId=220&hotelId=68485549
Gevora Hotel - Worlds Tallest Hotel,https://www.trip.com/hotels/detail/?cityId=220&hotelId=17504636
Jumeirah Emirates Towers Hotel,https://www.trip.com/hotels/detail/?cityId=220&hotelId=2197742
Mercure Dubai Deira,https://www.trip.com/hotels/detail/?cityId=220&hotelId=114575732
Al Khoory Atrium,https://www.trip.com/hotels/detail/?cityId=220&hotelId=7213316
"Le Meridien Dubai Hotel, Royal Club & Conference Centre",https://www.trip.com/hotels/detail/?cityId=220&hotelId=2533185
Ibis Mall of The Emirates Dubai,https://www.trip.com/hotels/detail/?cityId=220&hotelId=1551012
The Dubai Edition,https://www.trip.com/hotels/detail/?cityId=220&hotelId=82571548
Queen Elizabeth 2 Hotel,https://www.trip.com/hotels/detail/?cityId=220&hotelId=21160202
"Courtyard World Trade Centre, Dubai",https://www.trip.com/hotels/detail/?cityId=220&hotelId=70950862
"Sheraton Grand Hotel, Dubai",https://www.trip.com/hotels/detail/?cityId=220&hotelId=1862007
Peony Hotel,https://www.trip.com/hotels/detail/?cityId=220&hotelId=92729915
"Al Maha, a Luxury Collection Desert Resort & Spa, Dubai",https://www.trip.com/hotels/detail/?cityId=220&hotelId=1561738
Ecos Dubai Hotel at Al Furjan,https://www.trip.com/hotels/detail/?cityId=220&hotelId=76227638
Armada Avenue Hotel - Formerly Armada BlueBay Hotel,https://www.trip.com/hotels/detail/?cityId=220&hotelId=2560933
MD Hotel by Gewan Formerly Cassells,https://www.trip.com/hotels/detail/?cityId=220&hotelId=2195885
Five Jumeirah Village,https://www.trip.com/hotels/detail/?cityId=220&hotelId=42482340
Jumeirah Creekside Hotel,https://www.trip.com/hotels/detail/?cityId=220&hotelId=2144209
Mövenpick Grand Al Bustan Dubai,https://www.trip.com/hotels/detail/?cityId=220&hotelId=755491
"Al Khoory Executive Hotel, Al Wasl",https://www.trip.com/hotels/detail/?cityId=220&hotelId=756987
Rove Dubai Marina,https://www.trip.com/hotels/detail/?cityId=220&hotelId=16017132
Vintage Grand Hotel,https://www.trip.com/hotels/detail/?cityId=220&hotelId=2021753
Aloft Dubai Creek,https://www.trip.com/hotels/detail/?cityId=220&hotelId=21864238
Emirates Grand Hotel,https://www.trip.com/hotels/detail/?cityId=220&hotelId=2613998
EStay Hotel,https://www.trip.com/hotels/detail/?cityId=220&hotelId=108791561
Golden Tulip Deira Hotel,https://www.trip.com/hotels/detail/?cityId=220&hotelId=755560
Novotel Suites Dubai Mall of The Emirates,https://www.trip.com/hotels/detail/?cityId=220&hotelId=1964809
Al Habtoor Polo Resort,https://www.trip.com/hotels/detail/?cityId=220&hotelId=7750656
Hyatt Place Dubai Baniyas Square,https://www.trip.com/hotels/detail/?cityId=220&hotelId=2803103
Hyatt Regency Dubai - Corniche,https://www.trip.com/hotels/detail/?cityId=220&hotelId=981883
"Rove la Mer Beach, Jumeirah",https://www.trip.com/hotels/detail/?cityId=220&hotelId=57734769
City Seasons Towers Hotel Bur Dubai,https://www.trip.com/hotels/detail/?cityId=220&hotelId=5707546
"Sheraton Mall of The Emirates Hotel, Dubai",https://www.trip.com/hotels/detail/?cityId=220&hotelId=2125624
SO/ Uptown Dubai,https://www.trip.com/hotels/detail/?cityId=220&hotelId=106190196
Kingsgate Al Jaddaf Hotel by Millennium,https://www.trip.com/hotels/detail/?cityId=220&hotelId=76423534
Crowne Plaza Dubai - Festival City,https://www.trip.com/hotels/detail/?cityId=220&hotelId=2196239
Residence Inn by Marriott Sheikh Zayed Road,https://www.trip.com/hotels/detail/?cityId=220&hotelId=2195889
"Marriott Executive Apartments Al Jaddaf, Dubai",https://www.trip.com/hotels/detail/?cityId=220&hotelId=1562984
Novotel Bur Dubai,https://www.trip.com/hotels/detail/?cityId=220&hotelId=41630913
Sheraton Dubai Creek Hotel & Towers,https://www.trip.com/hotels/detail/?cityId=220&hotelId=755656
Park Regis Kris KIN Hotel,https://www.trip.com/hotels/detail/?cityId=220&hotelId=2038535
Four Points by Sheraton Sheikh Zayed Road,https://www.trip.com/hotels/detail/?cityId=220&hotelId=2101937
Best Western Plus Pearl Creek,https://www.trip.com/hotels/detail/?cityId=220&hotelId=6162771
Asiana Grand Hotel,https://www.trip.com/hotels/detail/?cityId=220&hotelId=105261627
Millennium Place Dubai Marina,https://www.trip.com/hotels/detail/?cityId=220&hotelId=37499010
Sofitel Dubai Downtown,https://www.trip.com/hotels/detail/?cityId=220&hotelId=2138537
Al Khoory Courtyard Hotel,https://www.trip.com/hotels/detail/?cityId=220&hotelId=92520252
DoubleTree by Hilton Dubai M Square Hotel & Residences,https://www.trip.com/hotels/detail/?cityId=220&hotelId=68601688
Swissôtel Al Ghurair Dubai,https://www.trip.com/hotels/detail/?cityId=220&hotelId=2046456
Millennium Atria Business Bay,https://www.trip.com/hotels/detail/?cityId=220&hotelId=28414903
"voco Monaco Dubai, an IHG Hotel, Adults Only, World Islands",https://www.trip.com/hotels/detail/?cityId=220&hotelId=103721647
Novotel Deira City Centre,https://www.trip.com/hotels/detail/?cityId=220&hotelId=2328356
Millennium Plaza Downtown Hotel,https://www.trip.com/hotels/detail/?cityId=220&hotelId=2145183
Hyatt Place Dubai Al Rigga,https://www.trip.com/hotels/detail/?cityId=220&hotelId=3061454
Hafez Hotel Apartments,https://www.trip.com/hotels/detail/?cityId=220&hotelId=2609730
Hyatt Place Dubai Wasl District Residences,https://www.trip.com/hotels/detail/?cityId=220&hotelId=50286395
Ibis Al Barsha,https://www.trip.com/hotels/detail/?cityId=220&hotelId=1550722
Millennium Al Barsha,https://www.trip.com/hotels/detail/?cityId=220&hotelId=37496406
Holiday International Hotel – Embassy District,https://www.trip.com/hotels/detail/?cityId=220&hotelId=2197834
Address Dubai Mall,https://www.trip.com/hotels/detail/?cityId=220&hotelId=29357937
Dusit Thani Dubai,https://www.trip.com/hotels/detail/?cityId=220&hotelId=1501483
The H Dubai,https://www.trip.com/hotels/detail/?cityId=220&hotelId=2365031
Grand Kingsgate Waterfront Hotel by Millennium,https://www.trip.com/hotels/detail/?cityId=220&hotelId=80979000
Coral Dubai Deira Hotel,https://www.trip.com/hotels/detail/?cityId=220&hotelId=2195875
Four Points by Sheraton Bur Dubai,https://www.trip.com/hotels/detail/?cityId=220&hotelId=755693
Carlton Tower Hotel,https://www.trip.com/hotels/detail/?cityId=220&hotelId=755557
Five Palm Jumeirah Dubai,https://www.trip.com/hotels/detail/?cityId=220&hotelId=9130336
Studio M Al Barsha Hotel by Millennium,https://www.trip.com/hotels/detail/?cityId=220&hotelId=88966277
Park Regis Business Bay,https://www.trip.com/hotels/detail/?cityId=220&hotelId=48679963
Residence Inn by Marriott Al Jaddaf,https://www.trip.com/hotels/detail/?cityId=220&hotelId=77186944
Concorde Creek View Hotel Bur Dubai,https://www.trip.com/hotels/detail/?cityId=220&hotelId=112369148
Pearl Swiss Hotel,https://www.trip.com/hotels/detail/?cityId=220&hotelId=91275939
"Al Seef Heritage Hotel Dubai, Curio Collection by Hilton",https://www.trip.com/hotels/detail/?cityId=220&hotelId=21908087
Marina Hotel Apartments,https://www.trip.com/hotels/detail/?cityId=220&hotelId=756424
Hilton Garden Inn Dubai Mall of The Emirates,https://www.trip.com/hotels/detail/?cityId=220&hotelId=4134256
Landmark Premier Hotel Dubai,https://www.trip.com/hotels/detail/?cityId=220&hotelId=2505717
Mercure Dubai Barsha Heights Hotel Suites And Apartments,https://www.trip.com/hotels/detail/?cityId=220&hotelId=2196523
Majestic City Retreat Hotel,https://www.trip.com/hotels/detail/?cityId=220&hotelId=755653
"Holiday Inn Express Dubai Airport, an IHG Hotel",https://www.trip.com/hotels/detail/?cityId=220&hotelId=1964436
Kingsgate Canal Hotel by Millennium,https://www.trip.com/hotels/detail/?cityId=220&hotelId=71939736
